Tema;Pregunta;Respuesta 1;Respuesta 2;Respuesta 3;Respuesta 4;Respuesta correcta;Porque
1;Mod e - p3 ¿Qué permite hacer la IA responsable en AutoML?;A. Garantizar que la IA se utilice para fines éticos.;B. Detectar sesgos en los datos.;C. Reducir la probabilidad de incidentes de seguridad.;D. Controlar el acceso a los modelos de IA.;b;Aporta controles para identificar sesgos y uso indebido de datos durante el proceso automático de creación del modelo, mejorando fiabilidad y cumplimiento.
1;Mod e - p9 Principal característica de AutoML;A. Diseñar modelos sin programar / sin conocimientos especializados.;B. Es una técnica exclusiva de Azure Machine Learning.;C. Únicamente se puede utilizar desde una interfaz gráfica.;D. Garantiza la creación del modelo más preciso posible.;a;Automatiza el diseño y entrenamiento de modelos para que puedan crearse soluciones personalizadas sin programar ni tener conocimientos avanzados de ciencia de datos.
1;Mod d - p1 ¿Qué permiten hacer los servicios de visión artificial?;A. Reconocer la voz de las personas.;B. Traducir textos a diferentes idiomas.;C. Generar textos a partir de imágenes.;D. Identificar objetos, personas y acciones en imágenes.;D;El tema define visión artificial como identificación de objetos/personas/acciones (y otros patrones) en imágenes/vídeo.
1;Mod d - p2 ¿Qué es el análisis de sentimientos?;A. El análisis de las emociones de las personas.;B. El análisis del estado de ánimo de las personas.;C. La detección del tono de un mensaje.;D. El análisis de la personalidad de las personas.;C;El tema lo define como detección del tono (positivo/negativo/neutro) del mensaje.
1;Mod d - p3 ¿Cuál es uno de los fines habituales de los servicios de procesamiento del lenguaje?;A. Conversión de voz a texto.;B. Reconocimiento facial;C. Detección de objetos;D. Generación de imágenes;A;El tema lista como fin habitual la conversión de audio a texto dentro de NLP.
2;¿Qué métodos se pueden utilizar para enviar ficheros o carpetas a un bucket de Google Cloud Storage?;A. Se debe utilizar el cliente pesado facilitado por Google, que puede descargarse en el sitio web de Google Cloud.;B. Google Cloud Console, línea de comandos, REST API.;C. Solamente Google Cloud Console.;D. Únicamente REST API, como medida de seguridad para evitar fugas de datos sensibles.;b;Google ofrece los tres métodos para enviar ficheros a GCS. El primero es un método interactivo, mientras que los otros dos se utilizan desde scripts o código fuente, respectivamente.
2;Google Cloud Storage es un servicio de almacenamiento basado en:;A. Ficheros.;B. Objetos.;C. Bloques.;D. Columnas.;b;Google Cloud Storage es un sistema de almacenamiento basado en objetos. Este enfoque permite escalabilidad masiva, menos complejidad y búsquedas más eficientes y rápidas.
2;¿Cuál de las siguientes es una ventaja de los cuadernos gestionados por el usuario?;A. No requieren reinicio tras un cambio de la VM en la que se ejecutan.;B. Admiten un mayor grado de personalización que los cuadernos gestionados por Google.;C. Reducen las opciones de personalización para proporcionar mayor seguridad.;D. En general, se ejecutan con menor latencia que los cuadernos gestionados por Google.;b;La característica diferencial de los cuadernos gestionados por el usuario es precisamente su elevado grado de personalización, con el propósito de acomodar casuísticas no contempladas por las configuraciones estándar de AI Workbench.
2;¿Qué lenguajes de programación están soportados en Google AutoML?;A. Java, Python y Rust.;B. Ninguno, porque AutoML no requiere escribir código fuente para entrenar modelos.;C. Java y Python.;D. Solo Python, que es lenguaje más habitual en los Jupyter Notebooks.;b;En efecto, AutoML es una plataforma no code que no requiere programación para generar modelos. Por tanto, no soporta ninguno de los lenguajes, porque no son necesarios para su operativa.
2;¿Cuál de las siguientes no es una métrica de optimización (optimization objective) para un modelo de regresión creado con Google AutoML?;A. RMSE.;B. AUC ROC.;C. MAE.;D. RMSLE.;b;La métrica de área bajo la curva del receiver-operating characteristic (AUC ROC) se utiliza en tareas de clasificación, no de regresión.
2;¿Qué tratamiento se aplica a las variables categóricas en el proceso de transformación de datos de Google AutoML?;A. Se genera un embedding asociado a cada valor de la variable categórica.;B. Se genera un índice por cada valor y un embedding asociado al índice.;C. No se realiza ningún tratamiento, se utilizan los valores tal cual aparecen en el dataset.;D. Se asigna un valor entero correlativo a cada valor encontrado.;b;Este tratamiento permite asociar vectores numéricos que no presuponen relaciones entre los valores de la variable categórica, como sí ocurre con la asignación de números enteros consecutivos (índices).
2;¿Cuál de las siguientes no es una opción de configuración de CREATE MODEL para el proceso de entrenamiento en BigQuery ML?;A. Número máximo de iteraciones.;B. Ratio de varianza total explicada.;C. Tipo de modelo.;D. Parámetros de regularización L1 y L2.;b;El ratio de varianza total explicada es un dato que proporciona la función ML.EVALUATE() cuando se ejecuta sobre un modelo PCA. No tiene nada que ver con las opciones de configuración de CREATE MODEL.
2;¿Cuál es la característica diferencial de la técnica bayesian optimization?;A. Que prueba exhaustivamente todas las combinaciones posibles.;B. Que es capaz de seleccionar las combinaciones más prometedoras para maximizar el rendimiento.;C. Que elige aleatoriamente qué combinaciones probar para hacer que el proceso de optimización sea computacionalmente viable.;D. Que elige qué combinaciones probar a partir de reglas que especifica el usuario.;b;El uso de estadística bayesiana permite aprender de las combinaciones ya probadas para determinar qué dirección seguir, es decir, qué combinaciones deberían probarse a continuación para obtener los mejores resultados.
2;¿Cuál es el espacio de soluciones de neural architecture search?;A. Los posibles valores de hiperparámetros de la red neuronal.;B. Los posibles diseños de arquitectura de la red neuronal.;C. Los valores de parámetros que se ajustarán en el proceso de entrenamiento de la red neuronal.;D. Ninguno de los anteriores.;b;El NAS es un sistema que genera arquitecturas de redes neuronales y prueba cuál de ellas ofrece mejores resultados para una tarea dada. Por contra, los valores de hiperparámetros se determinan en el proceso de ajuste o tuning.
2;¿En qué se diferencian los métodos de integrated gradients y XRAI para determinar las regiones de una imagen que más contribuyen al resultado de la clasificación?;"A. Integrated gradients identifica áreas de la imagen; XRAI identifica píxeles.";"B. Integrated gradients identifica píxeles; XRAI identifica áreas de la imagen.";C. XRAI es una variante de integrated gradients que se ejecuta más rápido.;D. Integrated gradients es una versión mejorada de XRAI.;b;XRAI es una variante de integrated gradients que produce resultados más fácilmente interpretables, porque en lugar de señalar píxeles aislados en una imagen, determina las regiones de una imagen que más contribuyen al resultado de la clasificación.
2;Mod C – P2. ¿En qué consiste la ingeniería de variables en AutoML?;A. En normalizar los valores de cada variable existente en el dataset;"B. Es la única actividad para la que el AutoML no proporciona ningún tipo de
automatización";C. En la clasificación automática de las variables existentes y la detección de su grado de importancia, así como la generación de nuevas variables.;"D. Consiste en identificar el significado de cada variable en el contexto del caso de uso
que se pretender resolver con el modelo de IA.";C;AutoML automatiza etapas como ingeniería de variables (definición de AutoML) , y durante el entrenamiento Vertex AI identifica automáticamente la tipología de variables y aplica transformaciones (texto→n-grams, temporales→año/mes/día, etc.) y luego reporta importancia de variables en “Evaluation details”.
2;Mod E – P4. ¿Qué técnica de explicabilidad se utiliza en árboles de decisión y determina la reducción de impureza…?;A. SHAP;B. Permutation feature importance;C. GINI Importance.;D. Partial dependence plots;C;Está en la Tabla 1: Resumen de técnicas de explicabilidad (bloque de “Interpretación de modelos”). (Tabla 1, págs. 34–35).
2;Mod E – P5. ¿Qué técnica genera perturbaciones sobre una imagen para explicar la clasificación…?;A. Integrated gradients;B. XRAI;C. LIME.;D. Grad-CAM;C;En el tema, LIME se recoge como técnica basada en perturbaciones para explicar predicciones (en el resumen de técnicas para imágenes). (Tabla 1, págs. 34–35).
2;Mod E – P6. ¿A qué se refiere la explicabilidad global de un modelo?;A. A la importancia o influencia de una variable en las predicciones.;B. A la capacidad del modelo para explicar sus predicciones a los usuarios;C. A la precisión del modelo en un conjunto de datos de prueba;D. A la complejidad del modelo;A;"El tema lo define explícitamente: global = influencia en todas las predicciones; local = influencia para una observación concreta. (Sección 2.6 Introducción a la explicabilidad, pág. 33)."
2;Mod E – P9. ¿Cuál es la principal característica del ML automatizado (AutoML)?;A. Permite crear modelos sin necesidad de programar ni tener conocimientos avanzados en ciencia de datos.;B. Es una técnica exclusiva de Azure Machine Learning.;C. Únicamente se puede utilizar desde una interfaz gráfica.;D. Garantiza la creación del modelo más preciso posible.;A;El tema lo dice tal cual: AutoML genera modelos automáticamente “sin necesidad de conocer un lenguaje de programación o disponer de conocimientos avanzados…”. (Sección 2.1 Introducción, pág. 3).
2;Mod D - P6 ¿Cuál de las siguientes técnicas de explicabilidad NO está implementada en Vertex AI?;A. SHAP;B. Integrated gradients;C. XRAI;D. Partial dependence plots;D;En el Tema 2 se indica que Vertex AI implementa SHAP, Integrated gradients y XRAI (y explicabilidad basada en ejemplos), por lo que no incluye Partial dependence plots.
2;¿Qué información se debe proporcionar en Google Vertex AI para entrenar un modelo con AutoML?;A. Únicamente un dataset;B. Un dataset y el tipo de modelo;C. Un dataset, tipo de modelo, nombre del modelo y columna objetivo de las predicciones;D. Un dataset, tipo de modelo, nombre de modelo, algoritmo utilizado y variable que se desea predecir;c;AutoML necesita el dataset, el tipo de modelo y el target (columna objetivo) para entrenar.
2;¿Qué es el Model Registry de Google Vertex AI?;A. Un repositorio de modelos pre-entrenados facilitados por Google;B. Un entorno en el que se pueden almacenar los modelos entrenados por el usuario para facilitar el control de versiones;C. Un entorno en el que se pueden almacenar modelos entrenados previamente para control de versiones y facilitar su posterior despliegue;D. Un repositorio de modelos desplegados en diferentes endpoints;c;Es un registro central para almacenar/versionar modelos y facilitar su gobierno y despliegue posterior.
2;Mod D - DESARROLLO: 5) ¿Para qué tipo de datos son más adecuados GCS?;"GCS es más adecuado para datos no estructurados. 
Ejemplos: imagen, vídeo, audio u otros “blobs”. 
Es almacenamiento por objetos, eficiente a gran escala. 
Funciona especialmente bien con datos estáticos (write-once/read-frequently).";;;;A;"Se indica que GCS (almacenamiento por objetos) es recomendable para datos no estructurados como imagen, vídeo y audio; y que rinde mejor con datos estáticos."
3;¿Qué es un entorno (environment) de entrenamiento en Azure Machine Learning?;A. Es una máquina virtual en la que se ejecuta el proceso de entrenamiento.;B. Es un contenedor Docker con el software necesario para las tareas de desarrollo en el proceso de entrenamiento.;C. Es un sinónimo de experimento (experiment).;D. Es un contenedor Docker especializado en el ajuste de hiperparámetros.;b;En efecto, la configuración del entorno incluye las librerías que necesita el código fuente para ejecutar correctamente el proceso de entrenamiento.
3;¿Para qué sirve la utilidad AzCopy de Azure?;A. Es el cliente de línea de comandos de Azure, que sirve para crear, modificar o eliminar un recurso en Azure.;B. Es una utilidad de línea de comandos diseñada para subir datos a Azure.;C. Es una herramienta disponible en el portal de Azure para subir datos a un workspace de Azure Machine Learning.;D. Es una herramienta disponible en el portal de Azure para copiar datos entre cuentas de almacenamiento.;b;AzCopy puede descargarse desde el sitio web de Microsoft para diferentes sistemas operativos, y permite subir datos a Azure desde otros proveedores, como Amazon o Google.
3;¿Cuál es la diferencia entre un dataset y un datastore en Azure Machine Learning?;A. Un dataset es una fuente de datos, mientras que un datastore es una abstracción de los datos reales que están almacenados en un dataset.;A. Un dataset es una fuente de datos, mientras que un datastore es una abstracción de los datos reales que están almacenados en un dataset.;C. Ambos son conceptos equivalentes en Azure Machine Learning.;D. Un dataset es una abstracción de los datos reales, mientras que el datastore son los datos reales.;b;Ambos conceptos permiten abstraerse de los detalles de ubicación y formato de los datos y la fuente que los proporciona, y centrarse en su utilidad para construir modelos predictivos eficaces.
3;¿Qué función cumple un HyperDriveStep en un pipeline de Azure Machine Learning?;A. Permite transferir datos de un datastore a un workspace de Azure Machine Learning.;B. Permite automatizar el ajuste de hiperparámetros.;C. Permite paralelizar la ejecución de procesos de entrenamiento.;D. Sirve para configurar la infraestructura en la que se ejecutarán los procesos de entrenamiento.;b;La posibilidad de automatizar el proceso de ajuste de hiperparámetros agiliza el proceso de creación de modelos, dado que, si tiene que realizarse de forma manual, resulta una actividad tediosa y repetitiva.
3;¿Cuál es la principal ventaja en el uso de pipelines en Azure Machine Learning?;A. Visualmente, queda mucho más claro qué finalidad tiene el modelo que se genera como resultado de la ejecución del pipeline.;B. Permiten reutilizar código fuente asociado a determinadas tareas repetitivas entre experimentos.;"C. No presenta ninguna ventaja; es simplemente el enfoque adoptado en Azure Machine Learning para abordar la creación de modelos. Otros proveedores de nube han adoptado enfoques diferentes igualmente válidos.";D. El hecho de que cada bloque del pipeline se realiza de forma automática, a diferencia de los notebooks, en los que el trabajo es 100 % manual.;b;En el proceso de creación de modelos, el foco debe ponerse en las tareas de mayor valor, fomentando la reutilización de código en todas aquellas que no sufrirán variaciones entre experimentos, como, por ejemplo, la preparación de los datos.
3;¿Qué es Horovod y para qué se utiliza en Azure Machine Learning?;A. Es un lenguaje de programación orientado a redes neuronales.;B. El framework Horovod sirve para implementar paralelismo de datos en redes neuronales.;C. Horovod es un lenguaje de programación que sirve para implementar paralelismo de datos en redes neuronales.;D. Es un framework diseñado para entrenar redes neuronales con GPUs.;b;Desarrollado por Uber, este framework permite agilizar el proceso de entrenamiento mediante el uso de una arquitectura distribuida.
3;¿Para qué sirve el parámetro evaluation_interval en HyperDrive?;A. Indica en qué posiciones del dataset se encuentran los datos de validación.;B. Indica cada cuántas ejecuciones debe evaluarse la política de finalización temprana.;C. Indica cada cuántos minutos debe evaluarse la política de finalización temprana.;D. Indica en qué ejecuciones específicas debe evaluarse la política de finalización temprana.;b;Este parámetro determina en qué momento se debe comparar el rendimiento de los diferentes runs de HyperDrive para, según la política de finalización temprana elegida, puedan cancelarse aquellos que están obteniendo peores resultados.
3;¿En qué se diferencia gradient descent de distributed gradient descent?;A. En el caso de Azure Machine Learning, son términos intercambiables.;B. DGD es un optimizador similar a gradient descent, pero diseñado para funcionar en entornos distribuidos (con múltiples nodos que participan en el proceso de entrenamiento).;C. Gradient descent está optimizado para entornos distribuidos en general, mientras que DGD se especializa en entornos distribuidos con GPUs.;D. DGD es una variante optimizada de gradient descent que se ejecuta más rápidamente, y por tanto permite completar el proceso de entrenamiento en un tiempo inferior.;b;La capacidad de DGD de funcionar en un entorno distribuido es clave para reducir el tiempo de entrenamiento de redes neuronales, que habitualmente requieren grandes volúmenes de datos para proporcionar resultados precisos.
3;¿Para qué sirve la clase azureml.datadrift.DataDriftDetector del SDK?;A. Sirve para corregir el concept drift detectado en los datos.;B. Sirve para detectar concept drift en los datos.;C. Sirve para detectar y corregir el concept drift en los datos.;D. Sirve para detectar datos obsoletos en un dataset.;b;El concept drift se refiere a los cambios que experimentan las relaciones entre los datos, lo que provoca que un modelo entrenado con datos antiguos deje de ser eficaz con las nuevas predicciones.
3;¿Cómo funciona la median stopping policy, en el contexto de la finalización temprana de HyperDrive?;A. Se cancela una ejecución (run) si la mediana de los valores de rendimiento (según la métrica elegida) obtenidos hasta el intervalo actual está por debajo de la mediana de las medias móviles del resto de ejecuciones (runs);B. Se cancela una ejecución (run) si la media móvil de los valores de rendimiento (según la métrica elegida) obtenidos hasta el intervalo actual está por debajo de la mediana de las medias móviles del resto de ejecuciones (runs);C. Se cancela una ejecución (run) si la mediana de los valores de rendimiento (según la métrica elegida) obtenidos hasta el intervalo actual está por debajo del promedio de las medias móviles del resto de ejecuciones (runs).;D. Se cancela una ejecución (run) si la mediana de los valores de rendimiento (según la métrica elegida) obtenidos hasta el intervalo actual está por encima del promedio de las medias móviles del resto de ejecuciones (runs).;b;Esta política utiliza la combinación de la mediana y la media móvil como valor de referencia. Otras alternativas son truncation selection o bandit policy, también disponibles en Azure Machine Learning con HyperDrive.
3;mod e - p7 ¿Qué técnica se utiliza para reducir el tiempo de entrenamiento de un modelo utilizando varios nodos de forma simultánea?;A. Finalización temprana.;B. Optimización bayesiana.;C. Paralelismo de datos.;D. Ajuste de hiperparámetros.;C;Porque el tema define que el paralelismo de datos reduce el tiempo de entrenamiento al usar varios nodos simultáneamente (Tema003, 3.8, p.34).
3;mod e - p8 ¿Qué parámetro de configuración de AutoML controla el nivel de detalle de las trazas del proceso?;A. experiment_timeout_minutes.;B. primary_metric.;C. verbosity.;D. n_cross_validations.;C;Porque el tema lista como parámetro de AutoML el “nivel de detalle aportado en las trazas (logs)” y lo mapea a verbosity (Tema003, 3.7, p.31).
3;mod e - p9 ¿Cuál es la principal característica del machine learning automatizado (AutoML)?;A. Permite crear modelos sin necesidad de programar ni tener conocimientos avanzados en ciencia de datos.;B. Es una técnica exclusiva de Azure Machine Learning.;C. Únicamente se puede utilizar desde una interfaz gráfica.;D. Garantiza la creación del modelo más preciso posible.;A;Porque el tema define AutoML como creación automática de modelos donde no es necesario programar ni tener conocimientos avanzados (Tema003, 3.7, p.31).
3;mod d - p8 ¿Qué estándar de intercambio de mensajes se utiliza habitualmente en Horovod?;A. HTTP.;B. TCP/IP.;C. MPI.;D. No existe ningún estándar para intercambio de mensajes.;C;En el Tema 3 se indica explícitamente que MPI es un estándar de intercambio de mensajes entre nodos y que Horovod lo utiliza para el entrenamiento distribuido (Tema003, p. 36).
3;mod d - p9 ¿Qué framework se utiliza para implementar paralelismo de datos en redes neuronales?;A. HyperDrive.;B. AutoML.;C. Horovod.;D. DataDriftDetector.;C;El Tema 3 dice que Horovod es una alternativa para implementar paralelismo de datos en redes neuronales en Azure ML (Tema003, p. 34).
3;¿Cuál es la relación entre experimentos y modelos registrados en Azure Machine Learning?;A. Cada experimento tiene asociado un modelo registrado;B. Cada modelo registrado es el resultado de un experimento;C. Múltiples experimentos se agrupan en un modelo registrado;D. Múltiples modelos registrados se agrupan en un experimento;b;Un modelo registrado normalmente proviene de una ejecución (run) dentro de un experimento.
3;¿Es posible ingestar datos desde un pipeline creado en Azure Machine Learning Designer?;A. No, esa etapa debe completarse previamente a la creación del pipeline, puesto que cada pipeline está vinculado exclusivamente a un dataset;B. Sí es posible, pero debe realizarse a través de código fuente en Python;C. No, no es posible porque Designer sólo permite trabajar con datos de ejemplos proporcionados por el propio entorno;D. Sí es posible, a través del step correspondiente;d;Designer permite incluir pasos/componentes para cargar/ingestar datos dentro del pipeline.
3;"Mod D - DESARROLLO: 4) ¿Cuál es la finalidad del siguiente código?

from azureml.core.compute import ComputeTarget, AmlCompute
nombre
cluster = ""cluster1""
tipo__vm = ""STANDARD_NC6""
max_nodes = 2
_
(Responder en 4 líneas)";"Define la configuración para crear/provisionar un clúster de cómputo en Azure ML.
El clúster se llamaría ""cluster1"" y usaría VM GPU STANDARD_NC6. 
Se limita el escalado a máximo 2 nodos (max_nodes = 2). 
Se usa para ejecutar entrenamientos (p.ej., deep learning) en infraestructura elástica.";;;;A;Hay un ejemplo de creación de infraestructura GPU en Azure ML usando AmlCompute.provisioning_configuration(...) y ComputeTarget.create(...) con STANDARD_NC6 y límites de nodos.
4;¿Para qué sirve la herramienta JumpStart de SageMaker?;A. JumpStart es la infraestructura de computación gestionada por Amazon, que podemos utilizar para ejecutar procesos de entrenamiento.;B. JumpStart es un catálogo de soluciones y modelos que resuelven los casos de uso más habituales de cada sector.;C. JumpStart es una colección de datasets proporcionados por Amazon para realizar pruebas de algoritmos y establecer benchmarks.;D. JumpStart es la solución de Amazon que permite detectar sesgos e importancia de características en una predicción.;b;Esta herramienta de SageMaker permite agilizar la implementación de casos de uso que aparecen recurrentemente en las organizaciones.
4;¿Qué datos se pueden almacenar en cada trial de un experimento?;A. Solo la información relativa al experimento, es decir, su nombre y su descripción.;B. Datos empleados, transformaciones aplicadas, valores de hiperparámetros, estimador elegido, métricas de rendimiento y gráficas generadas.;C. Datos empleados, transformaciones aplicadas y valores de hiperparámetros.;D. Datos empleados, transformaciones aplicadas, valores de hiperparámetros, estimador elegido y métricas de rendimiento.;b;Todos los elementos citados pueden almacenarse en las trazas de un trial, y sirven para poder comparar los resultados obtenidos por diferentes trials.
4;¿Qué efecto tiene la llamada sagemaker.Session()?;A. Devuelve información acerca de la sesión SageMaker en curso.;B. Crea una sesión de SageMaker, a través de la cual se utilizan todas las funcionalidades que ofrece el SDK.;C. No tiene efecto, puesto que el notebook ya dispone de una sesión que puede utilizar para realizar llamadas al SDK.;D. Crea una sesión de SageMaker, que posteriormente tenemos que activar con la llamada enable() para acceder a las funcionalidades del SDK. ;b;Esta llamada forma parte del proceso de inicialización en un notebook Jupyter, en la que se obtienen otras características como el rol de ejecución o la región.
4;¿Para qué puede utilizarse en Data Wrangler un scatter plot que enfrenta los valores de dos características?;A. No es posible representar los valores de dos características en un scatter plot.;B. Para detectar correlación entre las características.;C. Para determinar la frecuencia de cada valor o rango de valores de cada una de las características.;D. Data Wrangler no ofrece la posibilidad de visualizar un scatter plot.;b;Esta técnica permite detectar la correlación entre características. Si los puntos generados se aproximan a una línea recta, la correlación es elevada.
4;¿Qué es el modelado rápido de Data Wrangler?;A. Un ejercicio de construcción de un modelo con el perfil de hardware más potente del que dispone Amazon.;B. Un ejercicio de construcción de un modelo a partir de un fragmento de los datos para anticipar la viabilidad de un modelo completo.;C. Un ejercicio de construcción de un modelo con GPUs, que son el hardware óptimo para acelerar el proceso de entrenamiento.;D. Un ejercicio de construcción de un modelo con un algoritmo trivial, lo que permite obtener resultados aproximados rápidamente.;b;De esta forma, podemos comprobar las posibilidades de construir un modelo eficaz, invirtiendo tiempo y esfuerzo adicional en el proceso.
4;¿Cuáles son los tres componentes de un Feature Store?;A. Experimentos, definiciones de características y datos ingestados.;B. Colección de fuentes de datos de las que extrae características y datos, definiciones de características y datos ingestados.;C. Colección de fuentes de datos de las que extrae características y datos, definiciones de características e hiperparámetros.;D. Colección de fuentes de datos de las que extrae características y datos, modelos e hiperparámetros.;b;Estos tres componentes interactúan para centralizar en un repositorio las características y datos que necesitan los científicos de datos, de forma independiente a los equipos de ingeniería de datos.
4;¿Qué implicaciones positivas tiene la centralización de características en un único repositorio?;A. Permite que se utilicen las mismas características en el entrenamiento y en la inferencia.;B. Evita que varios científicos de datos construyan las mismas características por separado, y permite que se utilicen las mismas características en el entrenamiento y en la inferencia.;C. Evita que varios científicos de datos construyan las mismas características por separado.;D. Evita que cada científico de datos construya su propio feature store.;b;Las transformaciones de datos para generar características es una tarea que consume mucho tiempo. Por ello, la disponibilidad de un feature store permite agilizar estas tareas y concentrarse en la labor de creación de modelos eficaces.
